/fbo/web/app.php/user/product/1	獺祭　純米大吟醸　磨き二割三分	2012/3	180ml/300ml/720ml/1800ml	\1,458/\2,160/\5,142/\10,285	<使用米>山田錦(%)	＜麹米＞(23%)	＜掛米＞(23%)	協会9号	速醸	16-17	+6	1.1	1.1	NA	新鮮果実の上立ち香と含み香。滑らかな甘味とスッキリとした酸味が特徴。ほのかな旨味も中盤から展開。	特に春から夏向け。ワインフリーク向け。女性向け。	15℃前後	ブルゴーニュ型ワイングラス。やや大振りのフルートグラス	西洋料理と好相性。春野菜のテリーヌ、生牡蠣レモン、茹でホワイトアスパラガス	
/fbo/web/app.php/user/product/6	亀泉　純米吟醸原酒　CEL-24	2012/4	720ml/1800ml	\1,500/\3,500	<使用米>八反錦(50.0%)	＜麹米＞(%)	＜掛米＞(%)	CEL-24	速醸	14.5	-14	1.9	1	生原酒	黄桃やバナナを思わせる明確な吟醸香が特徴。スムーズな飲み口で明確な甘味と酸味が広がる。	特に春から夏向け。女性向け。ワインフリーク向け	10-15℃	白ワイン用グラス、ラッパ型グラス	果実や香草を使用した爽やかな料理と好相性。生春巻き、フルーツサラダ、チキン香草焼き	
/fbo/web/app.php/user/product/7	玉乃光　純米大吟醸　備前雄町100%	2012/02	180ml/300ml/720ml/1800ml	\630/\945/\2,310/\5,250	<使用米>備前雄町(50%)	＜麹米＞(%)	＜掛米＞(%)	協会9号	速醸	16-17	+3.5	1.7	1.2	備前雄町100％	落ち着いた吟醸香。軽快ながらも密度の高い味わい。深みのある純米大吟醸酒	季節を問わない。高級和食店向け。日本酒通向け	15℃前後	小型のワイングラス。	繊細ながらも深みのある料理と好相性。京懐石料理、甘鯛の若狭焼き、鱧の落とし	
/fbo/web/app.php/user/product/8	上善如水	2012/03	180ml/300ml/720ml/1800ml	\300/\612/\1,370/\2,730	<使用米>(60.0%)	＜麹米＞五百万石(%)	＜掛米＞越路早生、こしいぶき(%)	協会18号、7号	速醸	14-15	+5	1.3	1.5	NA	白桃のようなフルーティーな香り。ソフトな飲み口。優しい甘味と旨味が特徴。中辛口	特に春から夏。女子会向け。カジュアルに楽しめる	10℃前後	小型のワイングラス。フルートグラス	料理との相性の幅は広い。フレンチ系前菜・イタリアン系前菜など	
/fbo/web/app.php/user/product/11	獺祭　純米大吟醸酒　50	2013/02	180ml/300ml/720ml/1800ml	\410/\642/\1,539/\3,078	<使用米>(50%)	＜麹米＞山田錦(%)	＜掛米＞山田錦(%)	協会9号	速醸	16	NA	NA	NA	NA	甘い果実のような香りが主体。なめらかな飲み口と後味に広がる甘味が特徴。華やかな印象の味わい。	特に春から夏向け。ワインフリーク向け。女性向け。	15℃前後	ブルゴーニュ型ワイングラス。やや大振りのフルートグラス	果実や野菜を主役とした料理と好相性。ラタトゥィユ、リンゴとフレッシュチーズ、柚子大根	
/fbo/web/app.php/user/product/12	純米吟醸　八海山	2012/03	180ml/300ml/720ml/1800ml	\1,877(720ml)/\3,775(1800ml)	<使用米>(50%)	＜麹米＞山田錦(%)	＜掛米＞美山錦他(%)	アキタコンノNo.2	速醸	15.5	+4	1.2	1.1	NA	控えめなながら果実や花などの吟醸香が特徴。なめらかで軽快、まとまりのある味わい。	特に夏向け。日本酒ビギナー向け。女性向け。パーティツール向け	10-15℃	フルートグラス、小型のワイングラス	爽やかな料理と好相性。白身魚の薄造り柚子ポン酢、鶏肉の香草焼き、タケノコ木の芽あえ	
/fbo/web/app.php/user/product/13	北雪	NA	NA	NA	<使用米>(%)	＜麹米＞(55%)	＜掛米＞(60%)	NA	NA	18	NA	NA	NA	無濾過生原酒	白桃のようなフルーティーな香気。アタックで広がるソフトな甘味と、後味の引き締まったキレのよさが特徴。	特に春から夏向け。女性向け。フォーマルパーティー向け	15℃前後	中型のワイングラス、フルートグラス	新鮮な魚介類と好相性。甘海老の刺身、生牡蠣レモン添え、ヒラメの薄造りポン酢	
/fbo/web/app.php/user/product/20	東光　出羽の里	NA	720ml/1800ml	\1,370/\2,730	<使用米>出羽の里(60%)	＜麹米＞(%)	＜掛米＞(%)	山形酵母	速醸	17	-4	1.5	1.0	原酒		特に春から夏。「和」以外のシーンにも適合。グルメユーザー向け	15-18℃	中型のワイングラス、小振りのブルゴーニュ型グラス	爽やかな香りを持つ料理と好相性。茹でアスパラガス、ムール貝のワイン蒸し、夏野菜と生ハムのサラダ	
/fbo/web/app.php/user/product/21	東一　純米吟醸Nero	NA	720ml	\1,600	<使用米>山田錦(49%)	＜麹米＞(%)	＜掛米＞(%)	NA	速醸	13	0.7	1.4	NA	NA		特に春から夏。白ワインフリーク向け。女性向け。グルメユーザー	10-15℃	中型のワイングラス、小振りのブルゴーニュグラス	魚介類を洋風に仕立てた料理と好相性。帆立貝のワイン蒸し、ワタリガニのトマトソース	
/fbo/web/app.php/user/product/23	純米吟醸酒　出羽桜	NA	720ml/1800ml	\1,428/\2,909	<使用米>出羽燦々(50%)	＜麹米＞(%)	＜掛米＞(%)	山形酵母KA	速醸	15.8	+4	1.4	NA	生酒		特に春から夏。女性向け。典型的な吟醸酒好き向け	15℃前後	中型のワイングラス。大振りのフルートグラス	食前酒として最適。爽やかな味付けの突出しや前菜と共に	
