/fbo/web/app.php/user/product/14	せんきん	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	15年古酒		特に冬向け。熟成ワインフリーク向け。特別なシーン向け	20℃前後又は35℃前後	小型ブランデーグラス、白磁の平杯、内側が金塗りの漆器	濃厚で油脂成分の多い料理と好相性。レバーのパテ、フォワグラのソテー、熟成させたチーズ	
/fbo/web/app.php/user/product/57	秘蔵古酒　鶴鳴	NA	500ml	\2,500	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	速醸	17～18	NA	NA	NA	古酒		季節問わない。日本酒通向け。熟成ワインフリーク向け	15-20℃	シェリーグラス、白磁器、カット入りショットグラス	熟成した濃厚な素材との一体感を楽しむべし。チーズ類、キノコ類、ジビエ類など	
/fbo/web/app.php/user/product/68	鉄砲隊　番外編	NA	1800ml	\2,480	<使用米>山田錦(58%)	＜麹米＞(%)	＜掛米＞(%)	NA	速醸	18.5	+4	2.0	1.9	NA		特に冬向け。日本酒通向け。食後酒向け。中国料理向け	20℃前後又は35℃前後	白磁器、平杯、シェリーグラス、小型のブランデーグラス	旨味や油脂成分の強い料理と好相性。牛スジの煮込み、豚の角煮、鮭の西京味噌漬け焼き	
/fbo/web/app.php/user/product/76	神杉　古原酒	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	原酒、古酒	アルコール度数の非常に高い古酒。10年以上の熟成期間を経て変化した複雑で多彩な香気	中国料理、チーズ類、油脂成分の多い料理と相性の良い古酒。食後酒としての飲用にも向く	20℃前後	ブランデーグラス、小型のショットグラス、白磁の平杯など	鮎の甘露煮、鴨の燻製、鰻の蒲焼、鶏レバーのパテ、熟成したウオッシュタイプチーズなど	
/fbo/web/app.php/user/product/84	貴醸酒	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	NA	ビターチョコレートのような甘美な香り。とろりとした食感、甘味の強さが特徴だが、シャープな酸味と苦味が後味を引き締める	食後酒として単独での飲用か、チーズ、デザートとのマッチングを楽しめる日本酒。珍しい極甘口の日本酒	15℃前後	ショットグラス、シェリーグラスなど	食事の後に楽しみたい香味。ブルーチーズ＆ハチミツ、ウオッシュチーズ＆ナッツ、和菓子全般などと好相性	
/fbo/web/app.php/user/product/121	黒松翁　秘蔵古酒十八年者	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	18年古酒	典型的な熟成タイプ。18年古酒ならではの重厚かつ凝縮感の高い香味	熟成酒フリーク向け。ウイスキーフリーク向け。食後酒向け。中国料理、フレンチ向け。	15℃～25℃又は35℃前後	ブランデーグラス、シェリーグラス、白磁の平杯など	中国料理全般、フレンチスタイルの肉料理、チョコレートなどのデザート類	
/fbo/web/app.php/user/product/136	ふた穂雄町　特別純米酒2008年醸造	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	熟成酒	熟成感のある濃密な香りと芯のしっかりとした旨み、まろやかな酸味、苦味が広がるが軽やかさも同居。	日本酒通向け。熟成好き向けだが軽さもあり食中酒もでも楽しめる。	20℃前後又は40℃前後	白磁のグイ呑み。ブランデーグラス形状	やや濃厚な味わいの料理と好相性。ビーフシチュー、ウナギの蒲焼、北京ダックなど幅広い。	
/fbo/web/app.php/user/product/183	鳴門鯛　黄金純米	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	NA	初心者向けの飲みやすい熟成酒	カジュアルにもフォーマルにも適応食後にゆったりと飲むのに最適	常温(15～18度)ぬる燗(40度前後)	高級感のある陶器、クリスタルなどの小さめのグラス白ワイングラスなども可など	ナッツやレーズンなどと合わせる食事なら中華料理、韓国料理などに合わせる	
/fbo/web/app.php/user/product/186	独楽蔵　玄　円熟純米吟醸	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	NA	黒砂糖を思わせる香りとほのかな甘さ。上品な熟成感。ふくらみのある個性的な香気	熟酒としては軽快な後味。古酒ビギナー向き。食後酒・デザート酒、ウイスキーやブランデー的にも楽しめる。	春、秋、冬は18℃前後。夏場は少し冷やして15℃前後。	色が見えるガラス系。ウイスキー用ショットグラスでもOK。	それほど酒の味が濃厚ではないので、うまみの強い黒豆の枝豆や、カマンベールチーズなどが好相性	
/fbo/web/app.php/user/product/200	長龍　熟成古酒	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	NA	しっかりとした熟成香、高い酸、炊きたての米、香ばしいナッツ類、スパイスの香りが重層的に続く。やや甘口	日本酒通特に熟成酒好き。秋から冬にかけて。	18℃前後又は４０℃程度	細身の腰の張ったグラス、白磁のグイ呑みなど	濃厚な味付けの肉料理、ブリや金目鯛の煮付け、すき焼きなど	
/fbo/web/app.php/user/product/212	シェリー樽　熟成大吟醸　蔵出原酒	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	NA	洋酒のような熟成感もある複雑な香りとボリューム感とドライ感のある味わい。	限定的。季節は問わない。食後酒としてやメインディッシュに合わせての提供	20-25℃	小型のショットグラスなど	スパイスを利用したやや重めの洋風料理全般、カレー風味の味付けの料理、仔羊のスパイス焼きなど	
/fbo/web/app.php/user/product/216	水尾　十年の記憶　大吟醸十年古酒	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	
/fbo/web/app.php/user/product/339	田从　山廃純米　16BY	NA	NA	NA	<使用米>(%)	＜麹米＞(%)	＜掛米＞(%)	NA	NA	NA	NA	NA	NA	NA	ドライプルーンやカラメルを思わせる複雑な熟成香が特徴。しっかりとしたボリューム感のある酸味が印象的。	秋から冬向け。日本酒好き向け。コースのメイン料理、中華料理向け。濃厚な味付けの料理向け。	15℃前後、または、40℃前後	ブランデー型グラス、カット入りのショットグラス、白磁の平盃など	鰻の蒲焼、豚の角煮、鴨のロースト、フォアグラのソテー、エビチリ、麻婆茄子など	
